repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20180814A,,58659.738735614,53,7.70014594309032e-08,-7.113501043440746,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735853,53,2.390006557106972e-07,-6.621600907540787,Catalog 1,FRB20190625E
FRB20180908B,,58369.884074803,2,,,Catalog 1,FRB20180908B
FRB20180908B,,58655.09819361,2,285.2141188070018,2.455171020367071,Catalog 1,FRB20190621A
FRB20180916B,,58377.427312842,77,,,Catalog 1,FRB20180916B
FRB20180916B,,58410.34262424,77,32.915311397999176,1.5173979681260468,Catalog 1,FRB20181019A
FRB20180916B,,58410.34262498,77,7.400012691505253e-07,-6.130767535424973,Catalog 1,FRB20181019A
FRB20180916B,,58410.34262424,77,-7.400012691505253e-07,,Catalog 1,FRB20181019A
FRB20180916B,,58410.34262498,77,7.400012691505253e-07,-6.130767535424973,Catalog 1,FRB20181019A
FRB20180916B,,58426.289798323,77,15.947173342996393,1.2026837149587517,Catalog 1,FRB20181104A
FRB20180916B,,58426.29654762,77,0.006749296997440979,-2.1707414606552047,Catalog 1,FRB20181104B
FRB20180916B,,58442.247294232,77,15.950746612004878,1.2027810160380334,Catalog 1,FRB20181120B
FRB20180916B,,58474.1662416099,77,31.918947377896984,1.504048560764259,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416652,77,5.530455382540822e-08,-7.257239107034881,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662417617,77,9.64937498793006e-08,-7.015500815991314,Catalog 1,FRB20181222A
FRB20180916B,,58474.166241871,77,1.0929943528026342e-07,-6.961382081923115,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416099,77,-2.6109773898497224e-07,,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662416652,77,5.530455382540822e-08,-7.257239107034881,Catalog 1,FRB20181222A
FRB20180916B,,58474.1662417617,77,9.64937498793006e-08,-7.015500815991314,Catalog 1,FRB20181222A
FRB20180916B,,58474.166241871,77,1.0929943528026342e-07,-6.961382081923115,Catalog 1,FRB20181222A
